author,authorLabel,birthPlaceLabel,occupationLabel,deathPlaceLabel
http://www.wikidata.org/entity/Q642672,Giovanni Branca,Sant'Angelo in Lizzola,ingegnere,Loreto
http://www.wikidata.org/entity/Q642672,Giovanni Branca,Sant'Angelo in Lizzola,inventore,Loreto
http://www.wikidata.org/entity/Q642672,Giovanni Branca,Sant'Angelo in Lizzola,inventore,Loreto
http://www.wikidata.org/entity/Q644107,Paolo Polidori,Jesi,sacerdote cattolico,Roma
http://www.wikidata.org/entity/Q646238,Domenico Svampa,Montegranaro,sacerdote cattolico,Bologna
http://www.wikidata.org/entity/Q646238,Domenico Svampa,Montegranaro,vescovo cattolico,Bologna
http://www.wikidata.org/entity/Q646238,Domenico Svampa,Montegranaro,teologo,Bologna
http://www.wikidata.org/entity/Q646238,Domenico Svampa,Montegranaro,religioso cristiano,Bologna
http://www.wikidata.org/entity/Q652127,Lucio Flavio Silva,Urbisaglia,politico,Roma
http://www.wikidata.org/entity/Q652127,Lucio Flavio Silva,Urbisaglia,ufficiale,Roma
http://www.wikidata.org/entity/Q653145,Domenico Lucciardi,Sarzana,sacerdote cattolico,Senigallia
http://www.wikidata.org/entity/Q653145,Domenico Lucciardi,Sarzana,vescovo cattolico,Senigallia
http://www.wikidata.org/entity/Q654998,Gastone Novelli,Ancona,aviatore,Padova
http://www.wikidata.org/entity/Q659315,Marcello Morgante,Carpineto Sinello,sacerdote cattolico,Ascoli Piceno
http://www.wikidata.org/entity/Q659315,Marcello Morgante,Carpineto Sinello,vescovo cattolico,Ascoli Piceno
http://www.wikidata.org/entity/Q661448,Scipione,Macerata,scrittore,Arco
http://www.wikidata.org/entity/Q661448,Scipione,Macerata,pittore,Arco
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,compositore,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,compositore,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,direttore di coro,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,direttore di coro,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,compositore,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,compositore,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,direttore di coro,Loreto
http://www.wikidata.org/entity/Q664913,Giovanni Battista Borghi,Camerino,direttore di coro,Loreto
http://www.wikidata.org/entity/Q665262,Gennaro Manna,Napoli,compositore,Napoli
http://www.wikidata.org/entity/Q665262,Gennaro Manna,Napoli,pedagogista,Napoli
http://www.wikidata.org/entity/Q671741,Pietro Paolo Conti,Camerino,segretario,Roma
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,editore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,editore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,storico della matematica,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,storico della matematica,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,editore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,editore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,storico della matematica,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,storico della matematica,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,matematico,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q671745,Federico Commandino,Urbino,traduttore,Urbino
http://www.wikidata.org/entity/Q566851,Annibale Caro,Civitanova Marche,scrittore,Roma
http://www.wikidata.org/entity/Q566851,Annibale Caro,Civitanova Marche,poeta,Roma
http://www.wikidata.org/entity/Q566851,Annibale Caro,Civitanova Marche,traduttore,Roma
http://www.wikidata.org/entity/Q566851,Annibale Caro,Civitanova Marche,numismatico,Roma
http://www.wikidata.org/entity/Q567757,Giovanni della Rovere,Savona,capitano di ventura,Roma
http://www.wikidata.org/entity/Q567757,Giovanni della Rovere,Savona,capitano di ventura,Senigallia
http://www.wikidata.org/entity/Q568804,Luciano Neroni,Ripatransone,cantante lirico,Ripatransone
http://www.wikidata.org/entity/Q568804,Luciano Neroni,Ripatransone,cantante lirico,Ripatransone
http://www.wikidata.org/entity/Q568804,Luciano Neroni,Ripatransone,cantante lirico,Ripatransone
http://www.wikidata.org/entity/Q568804,Luciano Neroni,Ripatransone,cantante lirico,Ripatransone
http://www.wikidata.org/entity/Q569066,Francesco Vitelli,Città di Castello,diplomatico,Urbino
http://www.wikidata.org/entity/Q569066,Francesco Vitelli,Città di Castello,sacerdote cattolico,Urbino
http://www.wikidata.org/entity/Q569638,Anselmo Bucci,Fossombrone,scrittore,Monza
http://www.wikidata.org/entity/Q569638,Anselmo Bucci,Fossombrone,pittore,Monza
http://www.wikidata.org/entity/Q569638,Anselmo Bucci,Fossombrone,incisore,Monza
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,sacerdote,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,sacerdote,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,vescovo cattolico,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,vescovo cattolico,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,sacerdote,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,sacerdote,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,vescovo cattolico,Camerino
http://www.wikidata.org/entity/Q570458,Ansovino di Camerino,Camerino,vescovo cattolico,Camerino
http://www.wikidata.org/entity/Q573430,Simone Cantarini,Pesaro,pittore,Verona
http://www.wikidata.org/entity/Q573430,Simone Cantarini,Pesaro,grafico,Verona
http://www.wikidata.org/entity/Q573430,Simone Cantarini,Pesaro,acquafortista,Verona
http://www.wikidata.org/entity/Q573430,Simone Cantarini,Pesaro,disegnatore,Verona
http://www.wikidata.org/entity/Q576325,Baccio Pontelli,Firenze,architetto,Urbino
http://www.wikidata.org/entity/Q579749,Alessandro Oliva,Sassoferrato,sacerdote cattolico,Tivoli
http://www.wikidata.org/entity/Q580376,Giuseppe Mori,Loro Piceno,sacerdote cattolico,Loro Piceno
http://www.wikidata.org/entity/Q580376,Giuseppe Mori,Loro Piceno,sacerdote cattolico,Loro Piceno
http://www.wikidata.org/entity/Q580376,Giuseppe Mori,Loro Piceno,sacerdote cattolico,Loro Piceno
http://www.wikidata.org/entity/Q580376,Giuseppe Mori,Loro Piceno,sacerdote cattolico,Loro Piceno
http://www.wikidata.org/entity/Q583749,Luigi Battiferri,Sassocorvaro,compositore,Sassocorvaro
http://www.wikidata.org/entity/Q583749,Luigi Battiferri,Sassocorvaro,compositore,Sassocorvaro
http://www.wikidata.org/entity/Q583749,Luigi Battiferri,Sassocorvaro,compositore,Sassocorvaro
http://www.wikidata.org/entity/Q583749,Luigi Battiferri,Sassocorvaro,compositore,Sassocorvaro
http://www.wikidata.org/entity/Q583840,Giuseppe Brega,Urbino,architetto,Pesaro
http://www.wikidata.org/entity/Q583840,Giuseppe Brega,Urbino,architetto,Pesaro
http://www.wikidata.org/entity/Q583840,Giuseppe Brega,Urbino,architetto,Pesaro
http://www.wikidata.org/entity/Q583840,Giuseppe Brega,Urbino,architetto,Pesaro
http://www.wikidata.org/entity/Q589048,Gaspare Pacchierotti,Fabriano,attore,Padova
